"DateTime","Sales (USD)"
"2021-09-12 00:00:00",1911579.54
"2021-09-13 00:00:00",2294518.48
"2021-09-14 00:00:00",2681207.16
"2021-09-15 00:00:00",6259595.95
"2021-09-16 00:00:00",7335608.14
"2021-09-17 00:00:00",4576251.51
"2021-09-18 00:00:00",2647693.74
"2021-09-19 00:00:00",1239376.15
"2021-09-20 00:00:00",2497220.17
"2021-09-21 00:00:00",2247241.81
"2021-09-22 00:00:00",1875961.03
"2021-09-23 00:00:00",2222643.61
"2021-09-24 00:00:00",2829755.57
"2021-09-25 00:00:00",1484235.97
"2021-09-26 00:00:00",3307867.81
"2021-09-27 00:00:00",1580229.79
"2021-09-28 00:00:00",2303076.96
"2021-09-29 00:00:00",1990961.33
"2021-09-30 00:00:00",6494646.91
"2021-10-01 00:00:00",3313984.36
"2021-10-02 00:00:00",4752062.64
"2021-10-03 00:00:00",3651250.13
"2021-10-04 00:00:00",3240595.39
"2021-10-05 00:00:00",4843658.6
"2021-10-06 00:00:00",2917396.28
"2021-10-07 00:00:00",2613172.85
"2021-10-08 00:00:00",4237327.6
"2021-10-09 00:00:00",3289060.83
"2021-10-10 00:00:00",2809778.59
"2021-10-11 00:00:00",1428166.53
"2021-10-12 00:00:00",2266569.1
"2021-10-13 00:00:00",3413079.01
"2021-10-14 00:00:00",4180639.57
"2021-10-15 00:00:00",2317661.2
"2021-10-16 00:00:00",1388528.45
"2021-10-17 00:00:00",1347305.38
"2021-10-18 00:00:00",1768109.66
"2021-10-19 00:00:00",6077973.19
"2021-10-20 00:00:00",3673293.02
"2021-10-21 00:00:00",4558199.54
"2021-10-22 00:00:00",4114538.66
"2021-10-23 00:00:00",7480671.61
"2021-10-24 00:00:00",2393011.19
"2021-10-25 00:00:00",3620161.67
"2021-10-26 00:00:00",2189976.24
"2021-10-27 00:00:00",3399653.29
"2021-10-28 00:00:00",3491378.43
"2021-10-29 00:00:00",4624700.46
"2021-10-30 00:00:00",2085225.07
"2021-10-31 00:00:00",3374050.14
"2021-11-01 00:00:00",2301998.53
"2021-11-02 00:00:00",2933137.09
"2021-11-03 00:00:00",3729768.88
"2021-11-04 00:00:00",1917758.5
"2021-11-05 00:00:00",2939263.03
"2021-11-06 00:00:00",4025432.95
"2021-11-07 00:00:00",3069452.42
"2021-11-08 00:00:00",4156064.26
"2021-11-09 00:00:00",2989385.54
"2021-11-10 00:00:00",4989464.29
"2021-11-11 00:00:00",4073284.41
"2021-11-12 00:00:00",10268858.88
"2021-11-13 00:00:00",22779640.8
"2021-11-14 00:00:00",17237339.98
"2021-11-15 00:00:00",17946821.02
"2021-11-16 00:00:00",24676077.04
"2021-11-17 00:00:00",16482638.09
"2021-11-18 00:00:00",12390229.08
