Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Sales_USD,Number_of_Sales
2017-12-06,8266232,189193,1902382,32360
2017-12-07,10072689,227386,1806456,38193
2017-12-08,12209686,272593,2136996,45207
2017-12-09,14056240,323607,1846554,51014
2017-12-10,15434077,375641,1377836,52034
2017-12-11,16572006,422708,1137928,47067
2017-12-12,17400529,460103,828522,37395
2017-12-13,18034254,489799,633725,29696
2017-12-14,18642696,520734,608442,30935
2017-12-15,19103173,543764,460476,23030
2017-12-16,20154520,570959,1051346,27195
2017-12-17,20825134,592114,670614,21155
2017-12-18,21337256,611175,512122,19061
2017-12-19,21759847,625222,422591,14047
2017-12-20,22685558,646005,925710,20783
2017-12-21,23855008,661808,1169450,15803
2017-12-22,25828464,678090,1973455,16282
2017-12-23,27973984,692687,2145520,14597
2017-12-24,29617165,705268,1643181,12581
2017-12-25,31448628,715090,1831463,9822
2017-12-26,32434693,723036,986064,7946
2017-12-27,33089254,732142,654561,9106
2017-12-28,33477458,742121,388203,9979
2017-12-29,33830493,750395,353035,8274
2017-12-30,33959868,757036,129374,6641
2017-12-31,34147673,763957,187805,6921
2018-01-01,34291082,771543,143409,7586
2018-01-02,34498430,778027,207347,6484
2018-01-03,34632482,781635,134051,3608
2018-01-04,34691174,784203,58692,2568
2018-01-05,34735324,786279,44149,2076
2018-01-06,34819737,789185,84413,2906
2018-01-07,34884309,792379,64571,3194
2018-01-08,34945278,794929,60969,2550
2018-01-09,35001619,796695,56341,1766
2018-01-10,35054177,798021,52558,1326
2018-01-11,35108922,800180,54745,2159
2018-01-12,35172985,802662,64062,2482
2018-01-13,35235666,805161,62681,2499
2018-01-14,35319071,807978,83404,2817
2018-01-15,35369172,809796,50101,1818
2018-01-16,35425802,811814,56630,2018
2018-01-17,35471906,814140,46103,2326
2018-01-18,35525826,816958,53919,2818
2018-01-19,35609037,820075,83211,3117
2018-01-20,35761029,823293,151992,3218
2018-01-21,35825606,826380,64576,3087
2018-01-22,35873852,829405,48246,3025
2018-01-23,35918966,832292,45114,2887
2018-01-24,35966866,834966,47900,2674
2018-01-25,36005075,837218,38208,2252
2018-01-26,36054980,840037,49905,2819
2018-01-27,36108948,843177,53967,3140
2018-01-28,36178999,845838,70051,2661
2018-01-29,36224013,848312,45014,2474
2018-01-30,36280232,851300,56218,2988
2018-01-31,36377394,854158,97162,2858
2018-02-01,36411290,856234,33895,2076
2018-02-02,36454311,858730,43020,2496
2018-02-03,36490463,861027,36152,2297
2018-02-04,36522165,863077,31701,2050
2018-02-05,36552761,865462,30596,2385
2018-02-06,36588330,868797,35568,3335
2018-02-07,36626897,871696,38566,2899
2018-02-08,36661012,874456,34114,2760
2018-02-09,36711769,877287,50757,2831
2018-02-10,36778217,879405,66447,2118
2018-02-11,36843863,882831,65646,3426
2018-02-12,36902875,886072,59011,3241
2018-02-13,36997175,889794,94300,3722
2018-02-14,37421930,895443,424754,5649
2018-02-15,38150353,901843,728423,6400
2018-02-16,38312014,907316,161661,5473
2018-02-17,38474454,911557,162439,4241
2018-02-18,38646955,915987,172501,4430
2018-02-19,38865079,921004,218123,5017
2018-02-20,39108216,925553,243136,4549
2018-02-21,39197679,929585,89463,4032
2018-02-22,39280069,933459,82389,3874
2018-02-23,39403752,937866,123683,4407
2018-02-24,39568601,946458,164849,8592
2018-02-25,39692536,955593,123934,9135
2018-02-26,39827268,962305,134732,6712
2018-02-27,39994479,970876,167211,8571
2018-02-28,40121637,978594,127158,7718
2018-03-01,40215192,984556,93555,5962
2018-03-02,40294542,988912,79350,4356
2018-03-03,40379612,993402,85069,4490
2018-03-04,40599523,998568,219910,5166
2018-03-05,40731039,1002938,131516,4370
2018-03-06,40849981,1006715,118941,3777
2018-03-07,41019899,1011809,169918,5094
2018-03-08,41119082,1018390,99182,6581
2018-03-09,41210586,1024503,91503,6113
2018-03-10,41306949,1033580,96363,9077
2018-03-11,41370259,1037647,63309,4067
2018-03-12,41439542,1042481,69282,4834
2018-03-13,41503386,1046239,63844,3758
2018-03-14,41560554,1050690,57168,4451
2018-03-15,41601361,1054626,40806,3936
2018-03-16,41649611,1057755,48250,3129
2018-03-17,41701763,1061521,52152,3766
2018-03-18,41741568,1064345,39804,2824
2018-03-19,41793974,1067472,52406,3127
2018-03-20,42009633,1070533,215658,3061
2018-03-21,42269558,1073914,259925,3381
2018-03-22,42409590,1077316,140031,3402
2018-03-23,42702689,1080472,293098,3156
2018-03-24,42820751,1083648,118062,3176
2018-03-25,42935226,1089977,114474,6329
2018-03-26,43031961,1093026,96734,3049
2018-03-27,43137118,1096480,105156,3454
2018-03-28,43327436,1100151,190317,3671
2018-03-29,43416823,1104001,89387,3850
2018-03-30,43630963,1109769,214140,5768
2018-03-31,43710064,1112940,79100,3171
2018-04-01,43784507,1115852,74443,2912
2018-04-02,43845744,1119060,61236,3208
2018-04-03,43923138,1122305,77393,3245
2018-04-04,43973402,1125300,50264,2995
2018-04-05,44036729,1128056,63327,2756
2018-04-06,44104985,1131869,68255,3813
2018-04-07,44147403,1134610,42418,2741
2018-04-08,44218654,1142096,71250,7486
2018-04-09,44267240,1147373,48586,5277
2018-04-10,44320422,1150652,53182,3279
2018-04-11,44391213,1154122,70790,3470
2018-04-12,44435434,1157065,44221,2943
2018-04-13,44528128,1163248,92693,6183
2018-04-14,44613960,1168134,85832,4886
2018-04-15,44705746,1172095,91786,3961
2018-04-16,44767326,1175886,61579,3791
2018-04-17,44852377,1180991,85050,5105
2018-04-18,44919957,1185145,67580,4154
2018-04-19,44980260,1189017,60303,3872
2018-04-20,45030215,1193090,49954,4073
2018-04-21,45076686,1195662,46471,2572
2018-04-22,45127388,1197478,50701,1816
2018-04-23,45284203,1199342,156815,1864
2018-04-24,45366901,1201563,82697,2221
2018-04-25,45461079,1203848,94178,2285
2018-04-26,45522223,1205642,61143,1794
2018-04-27,45582274,1209030,60051,3388
2018-04-28,45642988,1214305,60714,5275
2018-04-29,45744299,1224238,101310,9933
2018-04-30,45852368,1227589,108069,3351
2018-05-01,45921458,1229837,69090,2248
2018-05-02,46016773,1231944,95314,2107
2018-05-03,46084882,1233669,68109,1725
2018-05-04,46170004,1236525,85121,2856
2018-05-05,46258624,1240042,88620,3517
2018-05-06,46320289,1242872,61665,2830
2018-05-07,46378740,1245606,58451,2734
2018-05-08,46459499,1249330,80758,3724
2018-05-09,46515780,1251718,56280,2388
2018-05-10,46570198,1253808,54418,2090
2018-05-11,46642455,1256315,72257,2507
2018-05-12,46680996,1258589,38540,2274
2018-05-13,46725171,1260390,44174,1801
2018-05-14,46753907,1261799,28736,1409
2018-05-15,46780441,1263444,26534,1645
2018-05-16,46824397,1265898,43955,2454
2018-05-17,46876826,1269781,52428,3883
2018-05-18,46929001,1273158,52174,3377
2018-05-19,46974154,1276807,45152,3649
2018-05-20,47027705,1279470,53551,2663
2018-05-21,47057511,1281296,29806,1826
2018-05-22,47088046,1283145,30534,1849
2018-05-23,47116546,1284856,28500,1711
2018-05-24,47152782,1287892,36236,3036
2018-05-25,47199567,1290192,46784,2300
2018-05-26,47242535,1292883,42967,2691
2018-05-27,47278796,1295694,36261,2811
2018-05-28,47323948,1297787,45151,2093
2018-05-29,47372879,1301898,48930,4111
2018-05-30,47432869,1306433,59990,4535
2018-05-31,47476731,1309783,43862,3350
2018-06-01,47511109,1312662,34377,2879
2018-06-02,47559068,1315575,47959,2913
2018-06-03,47617830,1317903,58762,2328
2018-06-04,47665750,1320094,47920,2191
2018-06-05,47721718,1322608,55967,2514
2018-06-06,47775640,1324619,53921,2011
2018-06-07,47838583,1326792,62943,2173
2018-06-08,47906333,1328856,67749,2064
2018-06-09,47942002,1331637,35669,2781
2018-06-10,47982697,1333702,40694,2065
2018-06-11,48025298,1337083,42601,3381
2018-06-12,48062279,1339986,36981,2903
2018-06-13,48113548,1342258,51268,2272
2018-06-14,48159311,1344184,45763,1926
2018-06-15,48209826,1349437,50514,5253
2018-06-16,48238294,1351793,28467,2356
2018-06-17,48294965,1354228,56671,2435
2018-06-18,48389995,1356983,95030,2755
2018-06-19,48481896,1359747,91900,2764
